text,start,count
breast and ovarian cancer,72,
ovarian cancer,83,
tumour,678,
inherited breast and ovarian cancer,62,
breast,72,
Ovarian cancer,0,
inherited cancer syndrome,1415,
cancers,612,
cancer,503,
hereditary breast and ovarian cancer,742,
myotonic dystrophy,91,
Myotonic dystrophy ( DM,0,
DM,1123,
DM,437,
familial or sporadic bilateral retinoblastoma,73,
familial,73,
Wiskott-Aldrich syndrome,0,
Wiskott-Aldrich,168,
syndrome,184,
idiopathic Addison's disease,53,
Adrenomyeloneuropathy ( AMN,442,
Adrenal insufficiency,546,
adrenal insufficiency,121,
elevated plasma concentrations of very long chain fatty acids,1054,
idiopathic Addisons disease,1455,
demyelination of the central nervous system,75,
ALD,635,
adrenomyeloneuropathy with cerebral involvement,1311,
accumulation of very long chain fatty acids in tissue and body fluids,149,
primary idiopathic adrenocortical insufficiency,973,
preclinical AMN,1373,
Tumor,0,
human prostate carcinoma,35,
tumor,874,
tumor,1485,
cancer,52,
prostate adenocarcinoma,1445,
prostate adenocarcinoma,1037,
prostatic adenocarcinoma,918,
human prostate carcinoma,1506,
prostate,281,
breast,36,
cancers,63,
carcinoma,43,
familial breast and ovarian cancer,388,
cancer,416,
cancers,1289,
pancreatic,1445,
tumours,938,
tumour,1222,
tumour,821,
pancreatic tumour,1370,
carcinoma,606,
cancer,1456,
breast cancers,1152,
familial,388,
breast and ovarian cancers,478,
breast,599,
cancers,262,
tumour,37,
breast,397,
breast,1307,
cancer,107,
cancers,1159,
cancer,177,
familial breast cancer,649,
hereditary breast and ovarian cancer,28,
prostatic,1405,
hereditary breast cancer,1777,
ovarian cancer,1092,
breast and ovarian cancer,48,
tumors,1324,
tumor,1339,
breast-ovarian cancer,1024,
"prostatic , pancreas , skin , and lung cancer",1405,
breast-ovarian cancer,1197,
hereditary,1777,
Familial Ovarian Cancer,109,
breast and / or ovarian cancer,130,
ovarian cancer,725,
breast and / or ovarian cancer,709,
breast / ovarian cancer,595,
tumour,735,
tumours,432,
sporadic tumours,423,
tumours,602,
tumour,113,
hereditary,43,
retinoblastoma,54,
tumor,1304,
hereditary,66,
retinoblastoma,77,
nonocular tumors,1338,
Huntington disease,73,
HD,93,
HD,110,
HD,1690,
HD,1098,
Wiskott-Aldrich syndrome,25,
scurfy,760,
familial,43,
fever,66,
Mediterranean,52,
fever,185,
Mediterranean,171,
familial,162,
Abnormal myotonic dystrophy,0,
myotonic dystrophy,9,
myopathy,68,
fibre-type dependent atrophy,676,
DM,650,
enhanced neonatal mortality,578,
DM-protein,96,
onset,66,
late,61,
progressive,72,
progressive myopathy,72,
DM,207,
DM,788,
"late-onset , progressive skeletal myopathy",301,
tumor,4,
breast and ovarian cancers,76,
tumors,172,
CHD,1365,
CHD,892,
WAS,802,
syndrome,20,
Wiskott-Aldrich,4,
WAS,103,
Wiskott-Aldrich syndrome,4,
severe eye abnormalities,68,
Small eye,20,
Small eye,436,
hypoplasia,172,
developmental abnormalities of the eye,587,
brain abnormalities,242,
lack eyes and nasal cavities,201,
exhibit brain abnormalities,234,
developmental defects,880,
HD,327,
Huntington,66,
sporadic breast / ovarian tumorigenesis,139,
breast / ovarian cancer,67,
PWS,529,
PWS,459,
tumour,44,
von Hippel-Lindau disease,18,
VHL,1125,
VHL,678,
VHL,1033,
VHL,796,
VHL,1451,
VHL,1630,
VHL,24,
VHL,351,
von Hippel-Lindau ( VHL ) disease,4,
VHL,1336,
VHL-mediated,1731,
VHL,1551,
VHL,954,
renal cell carcinoma and haemangioblastoma,384,
VHL,159,
"retinal , cerebellar and spinal haemangioblastomas",211,
VHL,527,
breast,36,
breast cancer,618,
hereditary breast or ovarian cancer,515,
breast or ovarian cancer,717,
hereditary cancer,909,
disease,113,
fish-eye,104,
fish-eye,335,
FED,625,
disease,344,
h FE,1061,
A-T,414,
A-T,948,
A-T,195,
chromophobe renal cell carcinomas,614,
chromophobe renal cell carcinomas,404,
parenchymal tumours of the kidney,112,
tumours,871,
parenchymal tumours,112,
Emery-Dreifuss muscular dystrophy,4,
EMDM,643,
Emery-Dreifuss muscular dystrophy,607,
EDMD,793,
Emery-Dreifuss muscular dystrophy ( EMDM,607,
tumours,265,
colorectal,212,
sporadic tumours,256,
endometrial carcinoma,806,
hereditary nonpolyposis colorectal cancer,188,
tumours,1528,
tumours,11,
HNPCC,232,
ND,69,
Norrie disease (ND,20,
ND,917,
ND,156,
ND,201,
ND,515,
Norrie disease ( ND,81,
enzyme deficiency,154,
severe G6PD deficiency,1212,
G6PD-normal,950,
myotonic dystrophy,81,
DM,163,
DM,42,
DM,340,
myotonic dystrophy,21,
myotonic dystrophy,1154,
DM,657,
lipomas,32,
lipomas,1784,
Huntington disease,119,
HD,92,
HD,746,
HD,503,
HD,246,
familial aniridia,744,
G6PD,21,
epilepsy,232,
epilepsies,934,
idiopathic epilepsies,923,
autosomal,190,
inherited breast cancer,378,
breast cancer,980,
breast cancer,1697,
inherited breast / ovarian cancer,276,
AT,1070,
AT,266,
AT,44,
cancer,1055,
ataxia-telangiectasia,20,
immune defects,98,
growth retardation,36,
growth,36,
retardation,43,
growth-retarded,515,
tumor,1422,
infertile,537,
cardiac and muscle symptoms,1105,
bacterial,73,
Complement C7 deficiency ( C7D,0,
recurrent bacterial infections,63,
infections,83,
meningitis,107,
HPRT-deficient,211,
APRT-HPRT-deficient,979,
HPRT-deficient,440,
self-injurious behavior,928,
compulsive self-injurious behavior,174,
in colorectal canc,1037,
of colorectal canc,956,
y colorectal cance,533,
ataxia-telangiectasia,23,
severe defects in T cell maturation,223,
ataxia-telangiectasia,575,
retarded in growth,160,
do not produce mature sperm,181,
ve tumo,1018,
th stage II and stage III colorectal carcinom,821,
ike stage III canc,1422,
se tumo,908,
ith lesi,1397,
In stage II colorectal carcino,1307,
th DCC-negative tumo,1005,
f tumo,676,
th stage II disea,885,
I colorectal carcinoma,538,
tumor,323,
d stage II and III colorectal carcinoma,521,
ith stage II or stage III colorectal can,1261,
