text,start,count
tumour,678,
Ovarian cancer,0,
ovarian cancer,889,
breast cancer,1244,
breast cancer,92,
hereditary ovarian cancer,1192,
cancer,503,
hereditary breast and ovarian cancer,742,
ovarian cancer,125,
breast cancer,632,
myotonic dystrophy,91,
Myotonic dystrophy,0,
DM,21,
DM,1123,
DM,437,
hereditary retinoblastoma,52,
familial or sporadic bilateral retinoblastoma,73,
type IID von Willebrand disease,88,
type IID von Willebrand disease,141,
type IID von Willebrand disease,1303,
Wiskott-Aldrich syndrome,0,
WAS,837,
Wiskott-Aldrich syndrome,168,
WAS,195,
X-linked adrenoleukodystrophy,0,
idiopathic Addison's disease,53,
adrenomyeloneuropathy,1311,
Addisons disease,749,
ALD,368,
Adrenomyeloneuropathy,442,
AMN,466,
ALD,727,
ALD,686,
accumulation of very long chain fatty acids in tissue and body fluids,149,
ALD,1428,
ALD,32,
idiopathic Addisons disease,1455,
AMN,619,
ALD,221,
preclinical AMN,1373,
Addisons disease,570,
cerebral ALD,1288,
human prostate carcinoma,35,
Prostate cancer,0,
cancer,52,
prostatic adenocarcinoma,1624,
prostate adenocarcinoma,1037,
human prostate carcinoma,1506,
breast carcinoma,36,
breast carcinoma,1307,
breast cancer,914,
tumour,1222,
familial breast cancer,649,
familial breast and ovarian cancer,388,
tumour,821,
breast carcinoma,599,
pancreatic tumour,1370,
cancers,262,
pancreatic cancer,1445,
breast cancer,729,
breast cancers,1152,
hereditary breast and ovarian cancer,28,
ovarian cancers,1834,
hereditary breast cancer,1777,
carcinosarcoma,1505,
breast and ovarian cancer,48,
oligodendroglioma,1479,
tumor,1339,
breast-ovarian cancer,1024,
"prostatic , pancreas , skin , and lung cancer",1405,
ovarian cancer,1597,
breast-ovarian cancer,1197,
ovarian cancer,1092,
Familial Ovarian Cancer,109,
breast and / or ovarian cancer,130,
breast / ovarian cancer,595,
Li-Fraumeni syndrome,93,
Li-Fraumeni syndrome,43,
hereditary retinoblastoma,43,
retinoblastoma,54,
tumor,1304,
retinoblastoma,77,
Huntington disease,73,
HD,93,
HD,110,
HD,1690,
HD,1583,
HD,1238,
Huntington disease,62,
HD,1098,
HD,83,
Canavan disease,86,
Canavan disease,0,
Canavan disease,487,
Canavan disease,1178,
Canavan disease,153,
Canavan disease,1738,
ataxia-telangiectasia,59,
A-T,83,
Wiskott-Aldrich syndrome,57,
Wiskott-Aldrich syndrome,881,
familial Mediterranean fever,43,
FMF,193,
FMF,435,
FMF,1213,
hypertrophic cardiomyopathy,546,
cataract,718,
DM,21,
myotonia,707,
male-infertility,731,
Myotonic dystrophy,0,
DM,388,
DM,207,
Myotonic dystrophy,0,
DM,788,
DM,21,
breast and ovarian cancers,76,
coronary heart disease,10,
CHD,892,
CHD,819,
CHD,1096,
CHD,720,
CHD,1239,
CHD,153,
CHD,1365,
