text,start,count
tumour,678,
Ovarian cancer,0,
breast cancer,92,
ovarian cancer,125,
cancer,503,
cancers,612,
breast cancer,632,
hereditary breast and ovarian cancer,742,
hereditary ovarian cancer,1192,
breast cancer,1244,
type IID von Willebrand disease,141,
type IID von Willebrand disease,1303,
WAS,195,
WAS,837,
ALD,32,
ALD,221,
ALD,368,
Adrenal insufficiency,546,
Addisons disease,570,
AMN,619,
ALD,686,
ALD,727,
Addisons disease,749,
cerebral ALD,1288,
ALD,1428,
Prostate cancer,0,
cancer,52,
prostate adenocarcinoma,1037,
prostatic adenocarcinoma,1624,
cancer,107,
cancer,177,
breast cancer,914,
tumours,938,
tumour,1222,
cancers,1289,
breast carcinoma,1307,
hereditary breast and ovarian cancer,28,
breast and ovarian cancer,48,
breast-ovarian cancer,1024,
tumor,1339,
oligodendroglioma,1479,
carcinosarcoma,1505,
ovarian cancer,1597,
hereditary breast cancer,1777,
breast / ovarian cancer,595,
Li-Fraumeni syndrome,43,
tumours,602,
tumour,735,
Huntington disease,73,
HD,93,
HD,110,
HD,83,
HD,1098,
HD,1238,
HD,1583,
HD,1690,
Canavan disease,86,
Canavan disease,0,
Canavan disease,153,
Canavan disease,487,
Canavan disease,1738,
ataxia-telangiectasia,59,
A-T,83,
Wiskott-Aldrich syndrome,57,
Wiskott-Aldrich syndrome,881,
FMF,193,
FMF,435,
FMF,1213,
Myotonic dystrophy,0,
DM,21,
hypertrophic cardiomyopathy,546,
male-infertility,731,
DM,21,
breast and ovarian cancers,76,
coronary heart disease,10,
CHD,153,
CHD,720,
CHD,819,
CHD,892,
CHD,1096,
CHD,1239,
CHD,1332,
CHD,1365,
retinoblastoma,38,
Wiskott-Aldrich syndrome,0,
Aniridia,0,
iris hypoplasia,167,
galactosemia,1502,
HD,87,
HD,327,
HD,610,
Prader-Willi syndrome,106,
PWS,130,
PWS,172,
PWS,529,
renal cell carcinoma,264,
phaeochromocytoma,289,
hereditary breast cancer,25,
breast cancer,31,
hereditary breast cancer,185,
hereditary breast cancer,330,
hereditary breast or ovarian cancer,515,
breast or ovarian cancer,717,
hereditary cancer,909,
hereditary breast cancer,1361,
hereditary breast cancer,1521,
FED,354,
ataxia-telangiectasia,48,
ataxia-telangiectasia,36,
A-T,60,
A-T,195,
A-T,948,
A-T,1040,
non-papillary renal cell carcinomas,75,
sporadic renal cell carcinomas,66,
non-papillary renal cell carcinomas,346,
non-papillary renal cell carcinomas,456,
papillary renal cell tumours,667,
renal oncocytomas,704,
tumours,871,
non-papillary renal cell carcinoma,1017,
tumours,11,
hereditary nonpolyposis colorectal cancer,188,
endometrial carcinomas,550,
endometrial carcinoma,774,
endometrial carcinoma,806,
tumours,1528,
ND,69,
ND,156,
ND,201,
ND,917,
Pediatric alveolar rhabdomyosarcoma,0,
