text,start,count
DM,1123,
DM,437,
idiopathic Addison's disease,53,
idiopathic Addisons disease,1455,
preclinical AMN,1373,
accumulation of very long chain fatty acids in tissue and body fluids,149,
human prostate carcinoma,35,
human prostate carcinoma,1506,
cancers,262,
breast cancers,1152,
Familial Ovarian Cancer,109,
retinoblastoma,54,
retinoblastoma,77,
DM,207,
DM,788,
WAS,802,
WAS,103,
severe eye abnormalities,68,
lack eyes and nasal cavities,201,
tumour,44,
von Hippel-Lindau disease,18,
fish-eye,104,
h FE,1061,
chromophobe renal cell carcinomas,614,
chromophobe renal cell carcinomas,404,
tumours,265,
epilepsies,934,
breast cancer,980,
breast cancer,1697,
AT,266,
growth-retarded,515,
infertile,537,
recurrent bacterial infections,63,
Complement C7 deficiency ( C7D,0,
compulsive self-injurious behavior,174,
do not produce mature sperm,181,
ve tumo,1018,
th stage II and stage III colorectal carcinom,821,
ike stage III canc,1422,
se tumo,908,
ith lesi,1397,
In stage II colorectal carcino,1307,
f tumo,676,
d stage II and III colorectal carcinoma,521,
ith stage II or stage III colorectal can,1261,
r DT,1614,
h AO,1221,
DTD,794,
h AO,1607,
Wiskott-Aldrich syndrome ( WAS,4,
WAS,535,
thrombocytopenia,1181,
WAS,1561,
WAS,480,
attenuated adenomatous polyposis coli,109,
jaw tumor syndrome,51,
renal hamartomas,1662,
jaw tumor and a parathyroid tumor,1599,
galactosemia,51,
galactosemia,72,
DM,658,
human cancers,185,
Schwartz-Jampel syndrome ( SJS ; chondrodystrophic myotonia,4,
moderate bone dysplasia,996,
d SJ,1674,
e SJ,1619,
mild skeletal changes,615,
childhood kidney cancer,79,
Wilms tumours,270,
IDDM,816,
IDDM,981,
recurrent neisseria infections,298,
C9 deficiency,549,
th breast and ovarian canc,829,
ith breast can,1446,
ot ovarian canc,721,
of bilateral breast canc,1202,
of breast canc,699,
of ovarian canc,969,
h breast cance,421,
of breast canc,627,
of breast canc,937,
of ovarian canc,1388,
of breast cance,1243,
of breast and ovarian canc,1002,
tumor,357,
cancer,268,
classical and Duarte galactosemia,422,
pediatric solid tumor alveolar rhabdomyosarcoma,192,
DM,927,
DM,1394,
DM,267,
