text,start,count
breast and ovarian cancer,72,
ovarian cancer,83,
inherited breast and ovarian cancer,62,
breast,72,
ovarian cancer,889,
breast cancer,1244,
breast cancer,92,
hereditary ovarian cancer,1192,
ovarian cancer,125,
hereditary breast and ovarian cancer,742,
inherited cancer syndrome,1415,
cancers,612,
breast cancer,632,
Myotonic dystrophy,0,
Myotonic dystrophy ( DM,0,
DM,21,
DM,1123,
DM,437,
hereditary retinoblastoma,52,
familial or sporadic bilateral retinoblastoma,73,
familial,73,
Type II human complement C2 deficiency,0,
Type II C2 deficiency,522,
Type II complement protein C2 deficiency,0,
Type II deficiency,297,
Type I C2 deficiency,238,
type IID von Willebrand disease,88,
type IID von Willebrand disease,141,
type IID von Willebrand disease,1303,
WAS,837,
Wiskott-Aldrich,168,
WAS,195,
Wiskott-Aldrich syndrome,168,
syndrome,184,
X-linked adrenoleukodystrophy,0,
idiopathic Addison's disease,53,
Adrenomyeloneuropathy,442,
adrenomyeloneuropathy with cerebral involvement,1311,
AMN,619,
ALD,221,
Addisons disease,570,
adrenomyeloneuropathy,1311,
X-Linked adrenoleukodystrophy,0,
Adrenal insufficiency,546,
adrenal insufficiency,121,
cerebral ALD,626,
AMN,466,
ALD,686,
ALD,635,
cerebral ALD,1288,
Addisons disease,749,
elevated plasma concentrations of very long chain fatty acids,1054,
demyelination of the central nervous system,75,
accumulation of very long chain fatty acids in tissue and body fluids,149,
ALD,1428,
idiopathic Addisons disease,1455,
preclinical AMN,1373,
Adrenomyeloneuropathy ( AMN,442,
ALD,368,
ALD,727,
ALD,32,
primary idiopathic adrenocortical insufficiency,973,
human prostate carcinoma,35,
tumor,874,
tumor,1485,
Prostate cancer,0,
prostate adenocarcinoma,1445,
prostate carcinomas,380,
prostatic adenocarcinoma,1624,
human prostate carcinoma,1506,
prostate,281,
breast carcinoma,36,
breast,36,
cancers,63,
carcinoma,43,
familial breast and ovarian cancer,388,
cancer,416,
cancers,1289,
pancreatic,1445,
tumours,938,
breast carcinoma,1307,
breast cancer,914,
carcinoma,606,
cancer,1456,
breast cancers,1152,
familial,388,
breast and ovarian cancers,478,
breast,599,
cancers,262,
breast cancer,729,
breast,397,
breast,1307,
cancer,107,
pancreatic cancer,1445,
breast carcinoma,599,
cancers,1159,
cancer,177,
hereditary breast and ovarian cancer,28,
prostatic,1405,
ovarian cancers,1834,
carcinosarcoma,1505,
oligodendroglioma,1479,
tumors,1324,
malignant melanoma,1455,
ovarian cancer,1597,
"prostatic , pancreas , skin , and lung cancer",1405,
hereditary,1777,
Familial Ovarian Cancer,109,
breast and / or ovarian cancer,130,
ovarian cancer,725,
breast and / or ovarian cancer,709,
Li-Fraumeni syndrome,93,
Li-Fraumeni syndrome,43,
tumours,432,
tumours,602,
tumour,735,
leiomyosarcoma,659,
sporadic tumours,423,
hereditary,43,
hereditary retinoblastoma,43,
retinoblastoma,54,
hereditary retinoblastoma,66,
hereditary,66,
retinoblastoma,77,
nonocular tumors,1338,
HD,83,
Huntington disease,62,
HD,1583,
HD,1238,
Canavan disease,86,
Canavan disease,0,
Canavan disease,487,
Canavan disease,1178,
Canavan disease,153,
Canavan disease,1738,
ataxia-telangiectasia,59,
A-T,83,
scurfy,760,
Wiskott-Aldrich syndrome,57,
Wiskott-Aldrich syndrome,881,
familial,43,
fever,66,
Mediterranean,52,
familial Mediterranean fever,43,
FMF,435,
fever,185,
FMF,1213,
familial,162,
Mediterranean,171,
FMF,193,
familial Mediterranean fever,162,
Abnormal myotonic dystrophy,0,
myopathy,68,
hypertrophic cardiomyopathy,546,
fibre-type dependent atrophy,676,
cataract,718,
DM,21,
myotonia,707,
Myotonic dystrophy,0,
DM-protein,96,
enhanced neonatal mortality,578,
male-infertility,731,
onset,66,
late,61,
progressive,72,
myopathy,84,
progressive myopathy,72,
DM,207,
DM,788,
DM,21,
progressive skeletal myopathy,314,
Myotonic dystrophy,0,
DM,388,
"late-onset , progressive skeletal myopathy",301,
breast and ovarian cancers,76,
tumors,172,
coronary heart disease,10,
CHD,819,
CHD,1096,
CHD,720,
CHD,1239,
CHD,153,
CHD,1332,
coronary heart disease,128,
retinoblastoma,38,
Wiskott-Aldrich syndrome,0,
WAS,802,
syndrome,20,
Wiskott-Aldrich,4,
X-linked thrombocytopenia,131,
WAS,103,
severe eye abnormalities,68,
Small eye,20,
Small eye,436,
hypoplasia,172,
developmental abnormalities of the eye,587,
brain abnormalities,242,
iris hypoplasia,167,
lack eyes and nasal cavities,201,
Aniridia,0,
developmental defects,880,
exhibit brain abnormalities,234,
galactosemia,1502,
galactosemia,366,
HD,610,
HD,87,
Huntington disease,66,
Huntington,66,
sporadic breast / ovarian tumorigenesis,139,
Prader-Willi syndrome,69,
PWS,172,
Prader-Willi syndrome,106,
PWS,130,
tumour,44,
von Hippel-Lindau disease,18,
VHL-mediated,1731,
sporadic renal cell carcinoma,375,
haemangioblastoma,409,
VHL,24,
"retinal , cerebellar and spinal haemangioblastomas",211,
renal cell carcinoma,264,
renal cell carcinoma and haemangioblastoma,384,
phaeochromocytoma,289,
breast,36,
hereditary breast cancer,25,
breast cancer,31,
hereditary breast cancer,1521,
hereditary breast cancers,413,
hereditary breast cancer,330,
hereditary cancer,909,
hereditary breast cancer,1361,
hereditary breast cancer,185,
disease,113,
fish-eye disease,104,
fish-eye,104,
FED,354,
fish-eye,335,
fish-eye disease,335,
disease,344,
h FE,1061,
ataxia-telangiectasia,48,
cerebellar ataxia,765,
A-T,60,
ataxia-telangiectasia,36,
A-T,1040,
non-papillary renal cell carcinomas,75,
chromophobe renal cell carcinomas,614,
non-papillary renal cell carcinomas,346,
parenchymal tumours of the kidney,112,
tumours,871,
chromophobe renal cell carcinomas,404,
non-papillary renal cell carcinoma,1017,
sporadic renal cell carcinomas,66,
renal oncocytomas,704,
parenchymal tumours,112,
non-papillary renal cell carcinomas,456,
papillary renal cell tumours,667,
Emery-Dreifuss muscular dystrophy ( EMDM,607,
endometrial cancer,20,
