text,start,count
tumour,678,
Ovarian cancer,0,
breast cancer,1244,
breast cancer,92,
hereditary ovarian cancer,1192,
cancer,503,
ovarian cancer,125,
cancers,612,
breast cancer,632,
DM,1123,
type IID von Willebrand disease,141,
type IID von Willebrand disease,1303,
WAS,837,
WAS,195,
idiopathic Addison's disease,53,
Adrenal insufficiency,546,
Addisons disease,749,
ALD,368,
ALD,727,
ALD,686,
ALD,1428,
ALD,32,
idiopathic Addisons disease,1455,
AMN,619,
ALD,221,
preclinical AMN,1373,
Addisons disease,570,
cerebral ALD,1288,
human prostate carcinoma,35,
Prostate cancer,0,
cancer,52,
prostatic adenocarcinoma,1624,
prostate adenocarcinoma,1037,
breast carcinoma,1307,
breast cancer,914,
tumour,1222,
cancer,107,
cancers,1289,
cancer,177,
tumours,938,
hereditary breast cancer,1777,
carcinosarcoma,1505,
breast and ovarian cancer,48,
oligodendroglioma,1479,
tumor,1339,
breast-ovarian cancer,1024,
ovarian cancer,1597,
breast / ovarian cancer,595,
Li-Fraumeni syndrome,43,
tumour,735,
tumours,602,
Huntington disease,73,
HD,93,
HD,110,
HD,83,
HD,1098,
HD,1583,
HD,1690,
HD,1238,
Canavan disease,86,
Canavan disease,0,
Canavan disease,487,
Canavan disease,1738,
Canavan disease,153,
ataxia-telangiectasia,59,
A-T,83,
Wiskott-Aldrich syndrome,57,
Wiskott-Aldrich syndrome,881,
FMF,193,
FMF,435,
FMF,1213,
hypertrophic cardiomyopathy,546,
Myotonic dystrophy,0,
DM,21,
male-infertility,731,
DM,788,
DM,21,
coronary heart disease,10,
CHD,892,
CHD,819,
CHD,1096,
CHD,720,
CHD,1239,
CHD,153,
CHD,1365,
CHD,1332,
retinoblastoma,38,
Wiskott-Aldrich syndrome,0,
WAS,802,
WAS,103,
Aniridia,0,
iris hypoplasia,167,
galactosemia,1502,
HD,87,
HD,610,
HD,327,
PWS,529,
PWS,172,
Prader-Willi syndrome,106,
PWS,130,
phaeochromocytoma,289,
renal cell carcinoma,264,
hereditary breast cancer,25,
breast cancer,31,
hereditary breast cancer,1521,
hereditary breast cancer,330,
breast or ovarian cancer,717,
hereditary cancer,909,
hereditary breast cancer,1361,
hereditary breast or ovarian cancer,515,
hereditary breast cancer,185,
FED,354,
ataxia-telangiectasia,48,
A-T,60,
A-T,195,
ataxia-telangiectasia,36,
A-T,1040,
A-T,948,
non-papillary renal cell carcinomas,75,
non-papillary renal cell carcinomas,346,
tumours,871,
chromophobe renal cell carcinomas,404,
non-papillary renal cell carcinoma,1017,
sporadic renal cell carcinomas,66,
renal oncocytomas,704,
papillary renal cell tumours,667,
non-papillary renal cell carcinomas,456,
endometrial carcinoma,774,
endometrial carcinoma,806,
endometrial carcinomas,550,
hereditary nonpolyposis colorectal cancer,188,
tumours,1528,
tumours,11,
