text,start,count
hereditary breast and ovarian cancer,742,
familial or sporadic bilateral retinoblastoma,73,
familial breast and ovarian cancer,388,
hereditary breast and ovarian cancer,28,
"prostatic , pancreas , skin , and lung cancer",1405,
breast and / or ovarian cancer,130,
breast and / or ovarian cancer,709,
breast and ovarian cancers,76,
"retinal , cerebellar and spinal haemangioblastomas",211,
inherited breast / ovarian cancer,276,
breast and ovarian cancer,41,
"breast , ovarian , or other cancers",857,
breast and ovarian cancers,1473,
breast and / or ovarian cancer,241,
breast / ovarian cancer,362,
breast / ovarian cancer,872,
breast and ovarian cancer,44,
breast and ovarian cancer,675,
"brain, breast, and prostate cancer",68,
breast and / or ovarian cancer,83,
hematopoietic and solid tumors,41,
RCC- and von Hippel-Lindau disease-associated tumors,330,
