text,start,count
inherited breast and ovarian cancer ,62,
sporadic breast and ovarian cancers,469,
stage II or stage III colorectal cancer,1265,
stage II and III colorectal carcinomas,523,
stage II and stage III colorectal carcinomas,824,
Duarte and Los Angeles variant galactosemia,20,
breast and ovarian cancer,832,
breast and ovarian cancer,1005,
classical and Duarte galactosemia,27,
Duarte galactosemia,436,
classical and ,422,
von Hippel-Lindau disease-associated and sporadic RCCs,178,
